Sector,Fecha,Hora,Mp10,Mp2_5
universidad ,29/04/2019,2,11,10
amanecer ,29/04/2019,3,8,8
centro ,29/04/2019,3,8,7
universidad ,29/04/2019,3,9,8
amanecer ,29/04/2019,4,6,5
centro ,29/04/2019,4,7,6
universidad ,29/04/2019,4,10,9
amanecer ,29/04/2019,5,8,7
centro ,29/04/2019,5,7,6
universidad ,29/04/2019,5,8,7
amanecer ,29/04/2019,6,14,13
centro ,29/04/2019,6,7,6
universidad ,29/04/2019,6,10,9
amanecer ,29/04/2019,7,19,18
centro ,29/04/2019,7,11,10
universidad ,29/04/2019,7,11,10
amanecer ,29/04/2019,8,23,22
centro ,29/04/2019,8,13,12
universidad ,29/04/2019,8,13,12
amanecer ,29/04/2019,9,22,21
centro ,29/04/2019,9,14,13
universidad ,29/04/2019,9,14,13
amanecer ,29/04/2019,10,30,29
centro ,29/04/2019,10,14,13
universidad ,29/04/2019,10,14,13
amanecer ,29/04/2019,11,24,23
centro ,29/04/2019,11,10,9
universidad ,29/04/2019,11,11,10
amanecer ,29/04/2019,12,18,17
centro ,29/04/2019,12,9,7
universidad ,29/04/2019,12,8,7
amanecer ,29/04/2019,13,15,14
centro ,29/04/2019,13,7,6
universidad ,29/04/2019,13,8,7
amanecer ,29/04/2019,14,18,17
centro ,29/04/2019,14,7,6
universidad ,29/04/2019,14,8,7
amanecer ,29/04/2019,15,14,14
centro ,29/04/2019,15,7,6
universidad ,29/04/2019,15,7,6
amanecer ,29/04/2019,16,13,12
centro ,29/04/2019,16,6,5
universidad ,29/04/2019,16,7,6
amanecer ,29/04/2019,17,21,20
centro ,29/04/2019,17,8,7
universidad ,29/04/2019,17,11,10
amanecer ,29/04/2019,18,124,120
centro ,29/04/2019,18,25,23
pedro valdivia ,29/04/2019,18,90,84
santa rosa ,29/04/2019,18,146,125
universidad ,29/04/2019,18,17,16
amanecer ,29/04/2019,19,180,173
centro ,29/04/2019,19,56,51
pedro valdivia ,29/04/2019,19,119,112
santa rosa ,29/04/2019,19,262,221
universidad ,29/04/2019,19,52,50
amanecer ,29/04/2019,20,144,138
centro ,29/04/2019,20,26,23
pedro valdivia ,29/04/2019,20,152,141
santa rosa ,29/04/2019,20,144,120
universidad ,29/04/2019,20,49,47
amanecer ,29/04/2019,21,341,319
centro ,29/04/2019,21,24,22
pedro valdivia ,29/04/2019,21,172,160
santa rosa ,29/04/2019,21,95,80
universidad ,29/04/2019,21,96,94
amanecer ,29/04/2019,22,487,456
centro ,29/04/2019,22,46,41
pedro valdivia ,29/04/2019,22,272,253
santa rosa ,29/04/2019,22,100,84
universidad ,29/04/2019,22,105,102
amanecer ,29/04/2019,23,356,332
centro ,29/04/2019,23,65,60
pedro valdivia ,29/04/2019,23,253,237
santa rosa ,29/04/2019,23,84,75
universidad ,29/04/2019,23,119,117
amanecer ,30/04/2019,0,478,437
centro ,30/04/2019,0,75,68
pedro valdivia ,30/04/2019,0,118,110
santa rosa ,30/04/2019,0,102,84
universidad ,30/04/2019,0,89,86
amanecer ,30/04/2019,1,444,405
centro ,30/04/2019,1,58,53
pedro valdivia ,30/04/2019,1,144,132
santa rosa ,30/04/2019,1,119,99
universidad ,30/04/2019,1,112,109
amanecer ,30/04/2019,2,253,232
centro ,30/04/2019,2,45,42
pedro valdivia ,30/04/2019,2,94,86
santa rosa ,30/04/2019,2,148,122
universidad ,30/04/2019,2,134,131
amanecer ,30/04/2019,3,173,162
centro ,30/04/2019,3,28,26
pedro valdivia ,30/04/2019,3,36,33
santa rosa ,30/04/2019,3,132,109
universidad ,30/04/2019,3,60,58
amanecer ,30/04/2019,4,165,152
centro ,30/04/2019,4,20,18
pedro valdivia ,30/04/2019,4,30,27
santa rosa ,30/04/2019,4,139,115
universidad ,30/04/2019,4,38,36
amanecer ,30/04/2019,5,248,224
centro ,30/04/2019,5,16,14
pedro valdivia ,30/04/2019,5,21,19
santa rosa ,30/04/2019,5,78,64
universidad ,30/04/2019,5,39,37
amanecer ,30/04/2019,6,208,192
centro ,30/04/2019,6,13,11
pedro valdivia ,30/04/2019,6,39,35
santa rosa ,30/04/2019,6,78,65
universidad ,30/04/2019,6,36,34
amanecer ,30/04/2019,7,383,349
centro ,30/04/2019,7,21,19
pedro valdivia ,30/04/2019,7,44,42
santa rosa ,30/04/2019,7,184,149
universidad ,30/04/2019,7,53,51
amanecer ,30/04/2019,8,631,579
centro ,30/04/2019,8,32,29
pedro valdivia ,30/04/2019,8,73,67
santa rosa ,30/04/2019,8,254,208
universidad ,30/04/2019,8,95,92
amanecer ,30/04/2019,9,350,328
centro ,30/04/2019,9,44,41
pedro valdivia ,30/04/2019,9,74,69
santa rosa ,30/04/2019,9,78,66
universidad ,30/04/2019,9,88,86
amanecer ,30/04/2019,10,38,37
centro ,30/04/2019,10,49,46
pedro valdivia ,30/04/2019,10,50,47
santa rosa ,30/04/2019,10,61,52
universidad ,30/04/2019,10,51,49
amanecer ,30/04/2019,11,25,24
centro ,30/04/2019,11,20,19
pedro valdivia ,30/04/2019,11,38,36
santa rosa ,30/04/2019,11,35,31
universidad ,30/04/2019,11,21,20
amanecer ,30/04/2019,12,22,21
centro ,30/04/2019,12,21,20
pedro valdivia ,30/04/2019,12,27,25
santa rosa ,30/04/2019,12,36,32
universidad ,30/04/2019,12,16,15
amanecer ,30/04/2019,13,15,15
centro ,30/04/2019,13,13,12
pedro valdivia ,30/04/2019,13,17,16
santa rosa ,30/04/2019,13,25,22
universidad ,30/04/2019,13,9,8
amanecer ,30/04/2019,14,12,11
centro ,30/04/2019,14,7,6
pedro valdivia ,30/04/2019,14,14,13
santa rosa ,30/04/2019,14,16,15
universidad ,30/04/2019,14,6,5
amanecer ,30/04/2019,15,13,13
centro ,30/04/2019,15,6,5
pedro valdivia ,30/04/2019,15,12,10
santa rosa ,30/04/2019,15,28,24
universidad ,30/04/2019,15,6,5
amanecer ,30/04/2019,16,24,23
centro ,30/04/2019,16,7,7
pedro valdivia ,30/04/2019,16,12,11
santa rosa ,30/04/2019,16,246,244
universidad ,30/04/2019,16,8,7
amanecer ,30/04/2019,17,37,35
centro ,30/04/2019,17,13,12
pedro valdivia ,30/04/2019,17,21,20
santa rosa ,30/04/2019,17,146,143
universidad ,30/04/2019,17,11,10
amanecer ,30/04/2019,18,113,110
